algo,sweep,n_seeds,welfare_mean,welfare_ci95,deaths_mean,deaths_ci95,unmet_mean,unmet_ci95,transfers_mean,transfers_ci95,gini_mean,gini_ci95,worst_capita_mean,worst_capita_ci95
dqn,default,5,-209279.1784,3030.734243104329,198473.2,2368.065605900984,1080598.9600000002,66264.58186004085,1482065.94,698709.0683903495,0.08087,0.005129608711782993,0.013290199999999999,0.00035435011238039657
ippo,default,5,-251122.90959999998,18040.650844886866,231168.44,14096.013554211851,1995444.3,394465.7000871168,4498348.62,291111.65291030065,0.11780399999999999,0.036946347599425854,0.0163132,0.0018807095613900622
mappo,default,5,-268126.7032,19219.767689503202,244455.58,15018.329874284978,2367112.54,420139.92962693225,5461519.9,139623.94068334773,0.10811000000000001,0.011114359692577881,0.0163024,0.0010387413092854247
peer,default,5,-251478.3196,8692.778039006376,231446.76,6792.195292190073,2003157.1400000001,190052.90145875057,4831217.24,215901.78937838302,0.11208599999999999,0.017706914449942983,0.016092799999999997,0.001091464219946765
dqn,n_cities=2,5,-159224.8326,6586.510849636001,149738.26,5146.598062600906,948653.3400000001,143995.90536782358,1758339.9,237972.8819705161,0.061544,0.00877632016972945,0.013351400000000003,0.0005122116416638733
ippo,n_cities=2,5,-141556.3736,10126.543401998686,135932.87999999998,7912.791040344684,562351.38,221380.7604430864,783319.86,96177.1689098814,0.033434,0.02024387648593026,0.011774799999999998,0.0008992518448043351
mappo,n_cities=2,5,-146832.2072,7386.915657350414,140055.04,5771.956158736839,677719.48,161494.84910456373,1360929.64,226259.93365980897,0.03918400000000001,0.015766460510640935,0.0121696,0.0005846261768480783
peer,n_cities=2,5,-152992.6694,8489.268191732333,144869.02000000002,6633.513200538415,812358.78,185578.05838568657,885703.1,115974.38635912549,0.058938000000000004,0.013291972913243539,0.012810199999999999,0.0005384278752665019
dqn,n_cities=6,5,-247317.0836,5971.639116424729,234676.52000000002,4666.2609015818025,1264056.3800000001,130534.29426519402,2096699.4,1398334.846718453,0.081602,0.008627465830845112,0.013663,0.0003864884435012244
ippo,n_cities=6,5,-324752.61840000004,4786.633765862714,295181.88,3740.685666001548,2957068.5,104597.56490067337,8013171.659999999,104968.01055018767,0.11438200000000001,0.005790267282811742,0.017261000000000002,0.0007140673011418465
mappo,n_cities=6,5,-337020.50080000004,7446.257711006991,304766.68,5818.185222531777,3225382.02,162802.47420180126,8718818.8,140798.21776766665,0.1183,0.022233786797214727,0.018035000000000002,0.0007600714727445037
peer,n_cities=6,5,-332306.52379999997,4978.0060717824845,301084.2,3889.7316048186112,3122234.52,108830.73576850089,8148102.0,143843.79488856034,0.12318200000000001,0.009749872984116257,0.018241399999999998,0.0004502178449772956
dqn,n_cities=8,5,-287664.17600000004,8435.855173457452,271354.44,6591.098892130891,1630974.8,184478.19977561204,3952441.22,447866.3772799321,0.08510999999999999,0.012626034911404297,0.014208599999999998,0.0003613852018220996
ippo,n_cities=8,5,-392360.1588,10389.13667236956,353161.05999999994,8117.372959688744,3919911.0199999996,227177.6928783093,10950737.959999999,250486.1881411327,0.125948,0.02080982074748363,0.0186344,0.0011386695192969723
mappo,n_cities=8,5,-393158.5908,6327.104915091309,353784.1,4944.251471297143,3937448.4799999995,138289.39999515633,11421589.5,206944.97261907815,0.11787,0.01521186166174278,0.0178698,0.00045430432380068846
peer,n_cities=8,5,-391925.23779999994,7342.410640035929,352821.3,5737.144633900734,3910395.6399999997,160532.61223719254,11039466.26,232844.85223695912,0.122536,0.01366887980405123,0.0181478,0.0006075919070428754
dqn,weekly_supply_per_capita=1.0e-4,5,-173087.87960000001,2865.5221295438846,170194.75999999998,2238.8616630134525,289314.83999999997,62661.81396183007,5196508.0200000005,1171992.184201335,0.045088,0.005619725042953615,0.010835599999999997,0.0003226410051062948
ippo,weekly_supply_per_capita=1.0e-4,5,-176686.98359999998,2622.6935708199417,173007.18,2049.318082456265,367982.33999999997,57337.06528679704,8817715.9,300038.0713295336,0.04296,0.003070338592403125,0.010886,0.00032360959268847446
mappo,weekly_supply_per_capita=1.0e-4,5,-197103.491,7905.351383177933,188960.38,6177.278055890358,814310.8400000001,172807.14888204265,11338078.72,443346.3934612061,0.06164000000000001,0.019525406476281107,0.012211999999999997,0.0006938322485442718
peer,weekly_supply_per_capita=1.0e-4,5,-186590.1928,12717.697974423272,180745.44,9937.426279153098,584476.1799999999,278032.59259234194,9228206.979999999,758365.4636670707,0.057228,0.02224998215636138,0.0115942,0.001201498768532037
dqn,weekly_supply_per_capita=1.0e-5,5,-338371.1020000001,1248.2469029313686,299340.36,975.445715413911,3903078.3200000003,27282.812945649053,74116.56000000001,3518.7380949215517,0.07033799999999998,0.0023451414333468304,0.0188032,8.153552884479205e-05
