sweep,city,tokens_emitted_mean,tokens_received_mean,net_received_mean
default,0,98.44,135.6,37.16
default,1,98.3,97.56,-0.7399999999999949
default,2,98.3,76.46000000000001,-21.83999999999999
default,3,98.08000000000001,83.5,-14.580000000000013
n_cities=2,0,99.0,99.0,0.0
n_cities=2,1,99.0,99.0,0.0
n_cities=6,0,97.53999999999999,165.2,67.66
n_cities=6,1,96.92,109.33999999999999,12.419999999999987
n_cities=6,2,97.04,93.22,-3.8200000000000074
n_cities=6,3,97.44,78.76000000000002,-18.67999999999998
n_cities=6,4,97.78,71.4,-26.379999999999995
n_cities=6,5,97.34,66.14,-31.200000000000003
n_cities=8,0,94.58,174.0,79.42
n_cities=8,1,95.22,108.67999999999999,13.459999999999994
n_cities=8,2,95.42,97.0,1.5799999999999983
n_cities=8,3,95.68,90.5,-5.180000000000007
n_cities=8,4,95.97999999999999,75.1,-20.879999999999995
n_cities=8,5,95.24000000000001,70.76,-24.480000000000004
n_cities=8,6,95.67999999999999,71.78,-23.89999999999999
n_cities=8,7,95.55999999999999,75.53999999999999,-20.019999999999996
weekly_supply_per_capita=1.0e-4,0,98.72,133.66,34.94
weekly_supply_per_capita=1.0e-4,1,98.28,93.16,-5.1200000000000045
weekly_supply_per_capita=1.0e-4,2,98.42,88.53999999999999,-9.88000000000001
weekly_supply_per_capita=1.0e-4,3,98.46,78.52000000000001,-19.939999999999984
weekly_supply_per_capita=1.0e-5,0,98.4,134.06,35.66
weekly_supply_per_capita=1.0e-5,1,98.64,100.78,2.1400000000000006
weekly_supply_per_capita=1.0e-5,2,98.4,81.04,-17.36
weekly_supply_per_capita=1.0e-5,3,98.2,77.75999999999999,-20.440000000000012
weekly_supply_per_capita=2.5e-4,0,97.94,133.11999999999998,35.17999999999998
weekly_supply_per_capita=2.5e-4,1,98.46,93.5,-4.959999999999994
weekly_supply_per_capita=2.5e-4,2,98.1,79.52,-18.58
weekly_supply_per_capita=2.5e-4,3,97.8,86.16,-11.64
weekly_supply_per_capita=2.5e-5,0,98.74000000000001,141.16,42.41999999999999
weekly_supply_per_capita=2.5e-5,1,98.12,98.49999999999999,0.37999999999998124
weekly_supply_per_capita=2.5e-5,2,98.47999999999999,80.48,-17.999999999999986
weekly_supply_per_capita=2.5e-5,3,98.52,73.72,-24.799999999999997
