run,total_seconds
dqn_n_cities=2_seed0,501.0
dqn_n_cities=2_seed1,503.9
dqn_n_cities=2_seed2,503.4
dqn_n_cities=2_seed3,509.4
dqn_n_cities=2_seed4,505.9
dqn_n_cities=6_seed0,574.6
dqn_n_cities=6_seed1,581.3
dqn_n_cities=6_seed2,568.7
dqn_n_cities=6_seed3,575.6
dqn_n_cities=6_seed4,577.3
dqn_n_cities=8_seed0,484.6
dqn_n_cities=8_seed1,482.4
dqn_n_cities=8_seed2,476.5
dqn_n_cities=8_seed3,451.5
dqn_n_cities=8_seed4,423.6
dqn_seed0,631.8
dqn_seed1,635.3
dqn_seed2,640.6
dqn_seed3,637.0
dqn_seed4,643.1
dqn_weekly_supply_per_capita=1.0e-4_seed0,558.4
dqn_weekly_supply_per_capita=1.0e-4_seed1,540.4
dqn_weekly_supply_per_capita=1.0e-4_seed2,539.3
dqn_weekly_supply_per_capita=1.0e-4_seed3,535.6
dqn_weekly_supply_per_capita=1.0e-4_seed4,529.7
dqn_weekly_supply_per_capita=1.0e-5_seed0,605.8
dqn_weekly_supply_per_capita=1.0e-5_seed1,613.8
dqn_weekly_supply_per_capita=1.0e-5_seed2,614.2
dqn_weekly_supply_per_capita=1.0e-5_seed3,620.7
dqn_weekly_supply_per_capita=1.0e-5_seed4,625.9
dqn_weekly_supply_per_capita=2.5e-4_seed0,520.0
dqn_weekly_supply_per_capita=2.5e-4_seed1,520.8
dqn_weekly_supply_per_capita=2.5e-4_seed2,521.3
dqn_weekly_supply_per_capita=2.5e-4_seed3,520.4
dqn_weekly_supply_per_capita=2.5e-4_seed4,519.6
dqn_weekly_supply_per_capita=2.5e-5_seed0,607.9
dqn_weekly_supply_per_capita=2.5e-5_seed1,605.1
dqn_weekly_supply_per_capita=2.5e-5_seed2,603.6
dqn_weekly_supply_per_capita=2.5e-5_seed3,604.2
dqn_weekly_supply_per_capita=2.5e-5_seed4,596.3
ippo_n_cities=2_seed0,90.1
ippo_n_cities=2_seed1,90.1
ippo_n_cities=2_seed2,89.7
ippo_n_cities=2_seed3,92.1
ippo_n_cities=2_seed4,92.1
ippo_n_cities=6_seed0,151.0
ippo_n_cities=6_seed1,150.5
ippo_n_cities=6_seed2,150.8
ippo_n_cities=6_seed3,151.7
ippo_n_cities=6_seed4,152.7
ippo_n_cities=8_seed0,196.2
ippo_n_cities=8_seed1,197.4
ippo_n_cities=8_seed2,195.5
ippo_n_cities=8_seed3,194.4
ippo_n_cities=8_seed4,190.0
ippo_seed0,154.3
ippo_seed1,111.9
ippo_seed2,113.3
ippo_seed3,116.3
ippo_seed4,137.2
ippo_weekly_supply_per_capita=1.0e-4_seed0,145.3
ippo_weekly_supply_per_capita=1.0e-4_seed1,142.6
ippo_weekly_supply_per_capita=1.0e-4_seed2,142.8
ippo_weekly_supply_per_capita=1.0e-4_seed3,141.9
ippo_weekly_supply_per_capita=1.0e-4_seed4,141.1
ippo_weekly_supply_per_capita=1.0e-5_seed0,152.7
ippo_weekly_supply_per_capita=1.0e-5_seed1,153.8
ippo_weekly_supply_per_capita=1.0e-5_seed2,153.6
ippo_weekly_supply_per_capita=1.0e-5_seed3,153.6
ippo_weekly_supply_per_capita=1.0e-5_seed4,152.6
ippo_weekly_supply_per_capita=2.5e-4_seed0,118.7
ippo_weekly_supply_per_capita=2.5e-4_seed1,118.1
ippo_weekly_supply_per_capita=2.5e-4_seed2,117.0
ippo_weekly_supply_per_capita=2.5e-4_seed3,118.9
ippo_weekly_supply_per_capita=2.5e-4_seed4,119.8
ippo_weekly_supply_per_capita=2.5e-5_seed0,148.1
ippo_weekly_supply_per_capita=2.5e-5_seed1,149.1
ippo_weekly_supply_per_capita=2.5e-5_seed2,150.3
ippo_weekly_supply_per_capita=2.5e-5_seed3,127.4
ippo_weekly_supply_per_capita=2.5e-5_seed4,129.4
mappo_n_cities=2_seed0,90.4
mappo_n_cities=2_seed1,92.7
mappo_n_cities=2_seed2,91.8
mappo_n_cities=2_seed3,91.4
mappo_n_cities=2_seed4,91.5
mappo_n_cities=6_seed0,152.6
mappo_n_cities=6_seed1,156.6
mappo_n_cities=6_seed2,157.9
mappo_n_cities=6_seed3,159.4
mappo_n_cities=6_seed4,163.7
mappo_n_cities=8_seed0,194.9
mappo_n_cities=8_seed1,193.8
mappo_n_cities=8_seed2,193.2
mappo_n_cities=8_seed3,193.3
mappo_n_cities=8_seed4,191.9
mappo_seed0,138.8
mappo_seed1,140.1
mappo_seed2,138.7
mappo_seed3,139.5
mappo_seed4,139.4
mappo_weekly_supply_per_capita=1.0e-4_seed0,140.8
mappo_weekly_supply_per_capita=1.0e-4_seed1,141.3
mappo_weekly_supply_per_capita=1.0e-4_seed2,141.0
mappo_weekly_supply_per_capita=1.0e-4_seed3,143.9
mappo_weekly_supply_per_capita=1.0e-4_seed4,146.5
mappo_weekly_supply_per_capita=1.0e-5_seed0,155.0
mappo_weekly_supply_per_capita=1.0e-5_seed1,155.2
mappo_weekly_supply_per_capita=1.0e-5_seed2,154.6
mappo_weekly_supply_per_capita=1.0e-5_seed3,143.8
mappo_weekly_supply_per_capita=1.0e-5_seed4,143.9
mappo_weekly_supply_per_capita=2.5e-4_seed0,120.2
mappo_weekly_supply_per_capita=2.5e-4_seed1,119.3
mappo_weekly_supply_per_capita=2.5e-4_seed2,119.8
mappo_weekly_supply_per_capita=2.5e-4_seed3,119.1
mappo_weekly_supply_per_capita=2.5e-4_seed4,118.8
mappo_weekly_supply_per_capita=2.5e-5_seed0,130.3
mappo_weekly_supply_per_capita=2.5e-5_seed1,142.2
mappo_weekly_supply_per_capita=2.5e-5_seed2,141.4
mappo_weekly_supply_per_capita=2.5e-5_seed3,141.9
mappo_weekly_supply_per_capita=2.5e-5_seed4,146.5
peer_n_cities=2_seed0,134.1
peer_n_cities=2_seed1,137.6
peer_n_cities=2_seed2,138.7
peer_n_cities=2_seed3,138.5
peer_n_cities=2_seed4,140.8
peer_n_cities=6_seed0,212.8
peer_n_cities=6_seed1,215.3
peer_n_cities=6_seed2,214.3
peer_n_cities=6_seed3,214.0
peer_n_cities=6_seed4,213.4
peer_n_cities=8_seed0,239.8
peer_n_cities=8_seed1,234.2
peer_n_cities=8_seed2,238.6
peer_n_cities=8_seed3,239.0
peer_n_cities=8_seed4,235.4
peer_seed0,198.1
peer_seed1,198.7
peer_seed2,199.4
peer_seed3,203.9
peer_seed4,203.8
peer_weekly_supply_per_capita=1.0e-4_seed0,202.1
peer_weekly_supply_per_capita=1.0e-4_seed1,202.1
peer_weekly_supply_per_capita=1.0e-4_seed2,202.0
peer_weekly_supply_per_capita=1.0e-4_seed3,201.4
peer_weekly_supply_per_capita=1.0e-4_seed4,200.1
peer_weekly_supply_per_capita=1.0e-5_seed0,201.7
peer_weekly_supply_per_capita=1.0e-5_seed1,200.5
peer_weekly_supply_per_capita=1.0e-5_seed2,201.4
peer_weekly_supply_per_capita=1.0e-5_seed3,201.8
peer_weekly_supply_per_capita=1.0e-5_seed4,200.8
peer_weekly_supply_per_capita=2.5e-4_seed0,165.4
peer_weekly_supply_per_capita=2.5e-4_seed1,165.7
peer_weekly_supply_per_capita=2.5e-4_seed2,165.9
peer_weekly_supply_per_capita=2.5e-4_seed3,164.8
peer_weekly_supply_per_capita=2.5e-4_seed4,164.9
peer_weekly_supply_per_capita=2.5e-5_seed0,208.0
