run,total_seconds
dqn_n_cities=2_seed0,639.1
dqn_n_cities=2_seed1,633.9
dqn_n_cities=2_seed2,637.8
dqn_n_cities=2_seed3,624.1
dqn_n_cities=2_seed4,645.0
dqn_n_cities=6_seed0,699.7
dqn_n_cities=6_seed1,698.6
dqn_n_cities=6_seed2,702.3
dqn_n_cities=6_seed3,688.0
dqn_n_cities=6_seed4,643.7
dqn_n_cities=8_seed0,453.6
dqn_n_cities=8_seed1,431.2
dqn_n_cities=8_seed2,430.2
dqn_n_cities=8_seed3,428.2
dqn_n_cities=8_seed4,407.7
dqn_seed0,619.8
dqn_seed1,599.9
dqn_seed2,603.6
dqn_seed3,598.8
dqn_seed4,645.8
dqn_weekly_supply_per_capita=1.0e-4_seed0,653.9
dqn_weekly_supply_per_capita=1.0e-4_seed1,654.2
dqn_weekly_supply_per_capita=1.0e-4_seed2,655.0
dqn_weekly_supply_per_capita=1.0e-4_seed3,648.6
dqn_weekly_supply_per_capita=1.0e-4_seed4,653.1
dqn_weekly_supply_per_capita=1.0e-5_seed1,630.6
dqn_weekly_supply_per_capita=1.0e-5_seed2,628.0
dqn_weekly_supply_per_capita=1.0e-5_seed3,633.6
dqn_weekly_supply_per_capita=1.0e-5_seed4,631.4
dqn_weekly_supply_per_capita=2.5e-4_seed0,643.4
dqn_weekly_supply_per_capita=2.5e-4_seed1,646.0
dqn_weekly_supply_per_capita=2.5e-4_seed2,639.5
dqn_weekly_supply_per_capita=2.5e-4_seed3,645.1
dqn_weekly_supply_per_capita=2.5e-4_seed4,650.5
dqn_weekly_supply_per_capita=2.5e-5_seed0,664.5
dqn_weekly_supply_per_capita=2.5e-5_seed1,660.9
dqn_weekly_supply_per_capita=2.5e-5_seed2,663.0
dqn_weekly_supply_per_capita=2.5e-5_seed3,662.5
dqn_weekly_supply_per_capita=2.5e-5_seed4,664.0
ippo_n_cities=2_seed0,120.6
ippo_n_cities=2_seed1,118.5
ippo_n_cities=2_seed2,120.4
ippo_n_cities=2_seed3,118.7
ippo_n_cities=2_seed4,122.6
ippo_n_cities=6_seed0,191.8
ippo_n_cities=6_seed1,193.9
ippo_n_cities=6_seed2,192.9
ippo_n_cities=6_seed3,190.2
ippo_n_cities=6_seed4,177.3
ippo_n_cities=8_seed0,224.4
ippo_n_cities=8_seed1,224.4
ippo_n_cities=8_seed2,226.5
ippo_n_cities=8_seed3,229.1
ippo_n_cities=8_seed4,225.8
ippo_seed0,141.0
ippo_seed1,140.1
ippo_seed2,137.9
ippo_seed3,141.5
ippo_seed4,140.2
ippo_weekly_supply_per_capita=1.0e-4_seed0,119.6
ippo_weekly_supply_per_capita=1.0e-4_seed1,117.9
ippo_weekly_supply_per_capita=1.0e-4_seed2,117.3
ippo_weekly_supply_per_capita=1.0e-4_seed3,118.8
ippo_weekly_supply_per_capita=1.0e-4_seed4,146.5
ippo_weekly_supply_per_capita=2.5e-4_seed0,146.4
ippo_weekly_supply_per_capita=2.5e-4_seed1,147.2
ippo_weekly_supply_per_capita=2.5e-4_seed2,149.6
ippo_weekly_supply_per_capita=2.5e-4_seed3,150.9
ippo_weekly_supply_per_capita=2.5e-4_seed4,147.0
ippo_weekly_supply_per_capita=2.5e-5_seed0,145.0
ippo_weekly_supply_per_capita=2.5e-5_seed1,143.2
ippo_weekly_supply_per_capita=2.5e-5_seed2,143.3
ippo_weekly_supply_per_capita=2.5e-5_seed3,145.4
ippo_weekly_supply_per_capita=2.5e-5_seed4,143.0
mappo_n_cities=2_seed0,120.7
mappo_n_cities=2_seed1,121.9
mappo_n_cities=2_seed2,121.7
mappo_n_cities=2_seed3,117.7
mappo_n_cities=2_seed4,118.9
mappo_n_cities=6_seed0,177.1
mappo_n_cities=6_seed1,177.8
mappo_n_cities=6_seed2,179.5
mappo_n_cities=6_seed3,180.0
mappo_n_cities=6_seed4,180.5
mappo_n_cities=8_seed0,228.6
mappo_n_cities=8_seed1,228.3
mappo_n_cities=8_seed2,220.7
mappo_n_cities=8_seed3,182.6
mappo_n_cities=8_seed4,180.0
mappo_seed0,140.6
mappo_seed1,141.0
mappo_seed2,140.1
mappo_seed3,157.6
mappo_seed4,158.5
mappo_weekly_supply_per_capita=1.0e-4_seed0,146.6
mappo_weekly_supply_per_capita=1.0e-4_seed1,143.7
mappo_weekly_supply_per_capita=1.0e-4_seed2,142.9
mappo_weekly_supply_per_capita=1.0e-4_seed3,128.9
mappo_weekly_supply_per_capita=1.0e-4_seed4,127.7
mappo_weekly_supply_per_capita=2.5e-4_seed0,148.7
mappo_weekly_supply_per_capita=2.5e-4_seed1,148.3
mappo_weekly_supply_per_capita=2.5e-4_seed2,137.0
mappo_weekly_supply_per_capita=2.5e-4_seed3,138.0
mappo_weekly_supply_per_capita=2.5e-4_seed4,140.4
mappo_weekly_supply_per_capita=2.5e-5_seed0,145.1
mappo_weekly_supply_per_capita=2.5e-5_seed1,144.1
mappo_weekly_supply_per_capita=2.5e-5_seed2,143.7
mappo_weekly_supply_per_capita=2.5e-5_seed3,152.2
mappo_weekly_supply_per_capita=2.5e-5_seed4,151.4
peer_n_cities=2_seed0,175.8
peer_n_cities=2_seed1,176.8
peer_n_cities=2_seed2,178.2
peer_n_cities=2_seed3,176.8
peer_n_cities=2_seed4,174.8
peer_n_cities=6_seed0,247.1
peer_n_cities=6_seed1,257.2
peer_n_cities=6_seed2,257.1
peer_n_cities=6_seed3,257.4
peer_n_cities=6_seed4,257.7
peer_n_cities=8_seed0,229.3
peer_n_cities=8_seed1,227.4
peer_n_cities=8_seed2,226.7
peer_n_cities=8_seed3,227.7
peer_n_cities=8_seed4,223.6
peer_seed0,219.2
peer_seed1,220.3
peer_seed2,211.1
peer_seed3,211.3
peer_seed4,203.3
peer_weekly_supply_per_capita=1.0e-4_seed0,186.0
peer_weekly_supply_per_capita=1.0e-4_seed1,184.3
peer_weekly_supply_per_capita=1.0e-4_seed2,186.6
peer_weekly_supply_per_capita=1.0e-4_seed3,200.4
peer_weekly_supply_per_capita=1.0e-4_seed4,201.2
peer_weekly_supply_per_capita=2.5e-4_seed0,218.8
peer_weekly_supply_per_capita=2.5e-4_seed1,214.5
peer_weekly_supply_per_capita=2.5e-4_seed2,218.6
peer_weekly_supply_per_capita=2.5e-4_seed3,217.9
peer_weekly_supply_per_capita=2.5e-4_seed4,220.2
peer_weekly_supply_per_capita=2.5e-5_seed0,209.5
peer_weekly_supply_per_capita=2.5e-5_seed1,205.3
peer_weekly_supply_per_capita=2.5e-5_seed2,194.1
peer_weekly_supply_per_capita=2.5e-5_seed3,192.8
peer_weekly_supply_per_capita=2.5e-5_seed4,194.6
