algo,sweep,n_seeds,welfare_mean,welfare_ci95,deaths_mean,deaths_ci95,unmet_mean,unmet_ci95,transfers_mean,transfers_ci95,gini_mean,gini_ci95,worst_capita_mean,worst_capita_ci95
dqn,default,5,-295168.04339999997,12297.636239166206,264975.74,9613.474064176855,3019231.5,268598.8810736098,7863992.159999999,1280635.1911389243,0.11622999999999999,0.00946942717169312,0.0174632,0.0004519903640388817
ippo,default,5,-217482.2404,4242.878612158421,204282.75999999998,3324.4935176014014,1319944.78,91891.84892565369,5163597.08,220126.98092095146,0.06883399999999999,0.016116664897974396,0.014301,0.0007289679787754738
mappo,default,5,-268607.50740000006,9771.916323092648,243527.82,7288.074572575168,2507978.68,248420.39244192044,7035924.040000001,276192.0852177752,0.12469000000000001,0.0377087980428971,0.0174022,0.001231414108959289
peer,default,5,-209832.11799999996,1705.5354576468878,198292.6,1341.21265760624,1153958.3599999999,36649.609913824264,4929689.340000001,160705.67433884574,0.07005600000000001,0.017632365890305247,0.0137768,0.0003824559204718899
ippo,n_cities=2,5,-142891.6542,10139.455553168595,136715.22,7910.144340970614,617641.8600000001,222932.7227337502,1318320.36,455868.66779652634,0.041348,0.01723066243620366,0.0123862,0.0009836912546851275
mappo,n_cities=2,5,-266567.69940000004,2781.7196957727006,232639.98000000004,2410.1589951006617,3392768.9,41285.655454605796,11168666.440000001,307139.4763021353,0.025612000000000003,0.012737784102676572,0.01963,0.00015733929757056863
peer,n_cities=2,5,-145242.4346,5600.860952195027,138541.68,4371.223738666947,670072.9,122964.79786613707,1344905.44,171454.42948752092,0.05171000000000001,0.024487797921413843,0.012959199999999999,0.0012192736707007164
ippo,n_cities=6,5,-287401.0786,6187.908474964877,264852.16,4800.924368571133,2254897.4,138875.79655719927,9130048.92,317635.87480369804,0.052088,0.010166570067353097,0.014477400000000001,0.0003840592867982756
mappo,n_cities=6,5,-332376.71459999995,10791.803535915033,299443.1,8416.248183475294,3293355.9799999995,240903.20982584724,9781427.7,300341.7493775125,0.130774,0.014618756409818164,0.017971400000000002,0.0007521489721165611
peer,n_cities=6,5,-285868.505,4949.428184132992,263703.1,3776.43357641975,2216537.38,117420.15338357985,9052284.12,212508.42651517203,0.051126000000000005,0.010741114024606572,0.014211399999999999,0.00043050345923813433
ippo,n_cities=8,5,-341271.03119999997,3647.7902513320946,311869.0,2847.4435563023976,2940201.44,80418.33942960262,11991707.98,185510.99888035495,0.06747800000000001,0.0058238899239597556,0.0154858,0.0005770322553757287
mappo,n_cities=8,5,-376647.9102,7615.592634371295,337219.3,5425.902252985843,3942861.06,233849.73701239386,12598144.940000001,187739.6012894615,0.18827,0.054839916661935204,0.018249999999999995,0.0006771659593334574
peer,n_cities=8,5,-343003.982,5620.403197372227,313203.34,4386.872551080297,2980062.04,124192.76932120764,12126531.279999997,313127.8038043904,0.065594,0.00916162286549714,0.0154352,0.000999404057658362
ippo,weekly_supply_per_capita=1.0e-4,5,-165690.562,2338.6202730734544,163177.46000000002,1787.2670621570144,251307.18,55737.572541263806,8478963.879999999,388121.6878629804,0.057062000000000015,0.012941322680715446,0.0102936,0.0003129154578732084
mappo,weekly_supply_per_capita=1.0e-4,5,-264756.1788,22458.428236350377,237081.36000000002,17537.39766343504,2767476.3600000003,492645.3313176243,14268159.959999999,1453027.8297743092,0.291246,0.0169562641586406,0.018154600000000003,0.000662143177096917
peer,weekly_supply_per_capita=1.0e-4,5,-167044.6742,5154.255835058469,164235.9,3946.725045204542,280875.82,121142.255469621,9050477.28,738130.2828689426,0.051674,0.013758628461063979,0.0104382,0.0005230348781333807
ippo,weekly_supply_per_capita=1.0e-5,5,-364098.44459999993,2169.6621748596863,319268.46,1702.4579164483757,4482999.4799999995,46790.95130563854,1465071.56,51544.41347261918,0.067088,0.016786890712648366,0.0198964,0.00039737887062097336
mappo,weekly_supply_per_capita=1.0e-5,5,-375939.5464,7482.339868669178,328465.39999999997,5866.352125984942,4747406.34,161609.37269714603,1774268.8400000003,276545.60888000735,0.046106,0.008457450192203324,0.020455800000000003,0.0005581205914710549
peer,weekly_supply_per_capita=1.0e-5,5,-363944.73120000004,3054.0464801008106,319155.57999999996,2395.866725717903,4478905.12,65847.22846506382,1466845.4200000002,83302.88010595426,0.06832,0.010649621717976652,0.020136,0.00040049040238187916
ippo,weekly_supply_per_capita=2.5e-4,5,-152427.51559999998,5869.842599275618,149645.28000000003,4296.533125221105,278220.46,168681.8262277061,27595625.860000003,790942.370865561,0.153984,0.06534008307440081,0.010251399999999999,0.0007201824170694533
mappo,weekly_supply_per_capita=2.5e-4,5,-235297.45300000004,27772.62764209633,210320.02000000002,22674.439926845607,2497743.32,518636.0668016421,32037881.139999997,3484171.668893165,0.40708,0.04024437601891723,0.018512800000000003,0.0010296455521702605
peer,weekly_supply_per_capita=2.5e-4,5,-144972.67619999996,2939.5808284000145,143541.31999999998,2039.436540083125,143135.74,107809.26467234982,28584964.4,434477.4185446874,0.166432,0.04483182100292604,0.009710600000000003,0.0004838003430507253
ippo,weekly_supply_per_capita=2.5e-5,5,-300102.0618,8723.699638099735,269049.14,6829.0669934089865,3105291.06,189521.3837912699,3272414.06,321263.1697952007,0.08056200000000001,0.008625419546804665,0.017752599999999997,0.000274933301758808
mappo,weekly_supply_per_capita=2.5e-5,5,-326600.8186,4624.3477490861505,289578.83999999997,3583.7060761848393,3702191.2600000002,104295.14622393054,4194747.680000001,278423.9748293793,0.070752,0.011768933227034636,0.019031600000000003,0.0008789573179716973
peer,weekly_supply_per_capita=2.5e-5,5,-297919.5078,8969.7555410697,267355.3,7012.971750461846,3056428.3599999994,195704.3482156372,3213720.1,287333.8767630679,0.071522,0.015365910492203191,0.017832599999999997,0.0004801194332413537
