sweep,city,tokens_emitted_mean,tokens_received_mean,net_received_mean
default,0,97.35999999999999,157.7,60.34
default,1,98.05999999999999,94.38000000000001,-3.6799999999999784
default,2,98.14000000000001,72.61999999999999,-25.520000000000024
default,3,98.18,67.04,-31.14
n_cities=2,0,99.0,99.0,0.0
n_cities=2,1,99.0,99.0,0.0
n_cities=6,0,96.64000000000001,216.82,120.17999999999998
n_cities=6,1,97.16,107.12,9.960000000000008
n_cities=6,2,96.97999999999999,91.00000000000001,-5.979999999999976
n_cities=6,3,96.78,64.96,-31.820000000000007
n_cities=6,4,96.97999999999999,49.959999999999994,-47.019999999999996
n_cities=6,5,97.12,51.8,-45.32000000000001
n_cities=8,0,96.72000000000001,264.15999999999997,167.43999999999994
n_cities=8,1,96.46,117.6,21.14
n_cities=8,2,96.76,103.25999999999999,6.499999999999986
n_cities=8,3,96.7,72.06000000000002,-24.639999999999986
n_cities=8,4,96.74,57.8,-38.94
n_cities=8,5,96.2,56.339999999999996,-39.86000000000001
n_cities=8,6,96.74000000000001,51.419999999999995,-45.320000000000014
n_cities=8,7,96.64,50.32,-46.32
weekly_supply_per_capita=1.0e-4,0,97.82,142.16000000000003,44.34000000000003
weekly_supply_per_capita=1.0e-4,1,98.50000000000001,88.49999999999999,-10.000000000000028
weekly_supply_per_capita=1.0e-4,2,98.48,86.76,-11.719999999999999
weekly_supply_per_capita=1.0e-4,3,98.55999999999999,75.94000000000001,-22.619999999999976
weekly_supply_per_capita=1.0e-5,0,97.78,179.62000000000003,81.84000000000003
weekly_supply_per_capita=1.0e-5,1,98.46000000000001,88.08,-10.38000000000001
weekly_supply_per_capita=1.0e-5,2,98.36,67.8,-30.560000000000002
weekly_supply_per_capita=1.0e-5,3,98.18,57.279999999999994,-40.90000000000001
weekly_supply_per_capita=2.5e-4,0,98.82000000000001,146.07999999999998,47.25999999999998
weekly_supply_per_capita=2.5e-4,1,98.64000000000001,94.12,-4.52000000000001
weekly_supply_per_capita=2.5e-4,2,98.53999999999999,82.9,-15.639999999999986
weekly_supply_per_capita=2.5e-4,3,98.42,71.32000000000001,-27.099999999999994
weekly_supply_per_capita=2.5e-5,0,98.17999999999999,172.48000000000002,74.30000000000003
weekly_supply_per_capita=2.5e-5,1,98.47999999999999,104.3,5.820000000000007
weekly_supply_per_capita=2.5e-5,2,98.67999999999999,64.35999999999999,-34.32000000000001
weekly_supply_per_capita=2.5e-5,3,98.58,52.779999999999994,-45.800000000000004
