run,total_seconds
dqn_seed0,584.1
dqn_seed1,585.8
dqn_seed2,587.5
dqn_seed3,421.8
dqn_seed4,379.7
ippo_n_cities=2_seed0,232.7
ippo_n_cities=2_seed1,232.3
ippo_n_cities=2_seed2,235.8
ippo_n_cities=2_seed3,246.6
ippo_n_cities=2_seed4,260.9
ippo_n_cities=6_seed0,241.6
ippo_n_cities=6_seed1,239.8
ippo_n_cities=6_seed2,238.2
ippo_n_cities=6_seed3,239.1
ippo_n_cities=6_seed4,237.5
ippo_n_cities=8_seed0,347.4
ippo_n_cities=8_seed1,349.1
ippo_n_cities=8_seed2,350.3
ippo_n_cities=8_seed3,357.5
ippo_n_cities=8_seed4,359.0
ippo_seed0,174.4
ippo_seed1,173.5
ippo_seed2,174.7
ippo_seed3,175.1
ippo_seed4,174.9
ippo_weekly_supply_per_capita=1.0e-4_seed0,186.4
ippo_weekly_supply_per_capita=1.0e-4_seed1,191.7
ippo_weekly_supply_per_capita=1.0e-4_seed2,189.8
ippo_weekly_supply_per_capita=1.0e-4_seed3,190.7
ippo_weekly_supply_per_capita=1.0e-4_seed4,184.7
ippo_weekly_supply_per_capita=1.0e-5_seed0,163.5
ippo_weekly_supply_per_capita=1.0e-5_seed1,161.7
ippo_weekly_supply_per_capita=1.0e-5_seed2,163.1
ippo_weekly_supply_per_capita=1.0e-5_seed3,162.4
ippo_weekly_supply_per_capita=1.0e-5_seed4,165.1
ippo_weekly_supply_per_capita=2.5e-4_seed0,193.1
ippo_weekly_supply_per_capita=2.5e-4_seed1,194.7
ippo_weekly_supply_per_capita=2.5e-4_seed2,194.6
ippo_weekly_supply_per_capita=2.5e-4_seed3,194.7
ippo_weekly_supply_per_capita=2.5e-4_seed4,244.0
ippo_weekly_supply_per_capita=2.5e-5_seed0,165.9
ippo_weekly_supply_per_capita=2.5e-5_seed1,166.0
ippo_weekly_supply_per_capita=2.5e-5_seed2,165.5
ippo_weekly_supply_per_capita=2.5e-5_seed3,167.7
ippo_weekly_supply_per_capita=2.5e-5_seed4,168.9
mappo_n_cities=2_seed0,207.7
mappo_n_cities=2_seed1,208.2
mappo_n_cities=2_seed2,206.1
mappo_n_cities=2_seed3,200.0
mappo_n_cities=2_seed4,196.5
mappo_n_cities=6_seed0,246.9
mappo_n_cities=6_seed1,246.2
mappo_n_cities=6_seed2,245.4
mappo_n_cities=6_seed3,247.9
mappo_n_cities=6_seed4,250.0
mappo_n_cities=8_seed0,367.6
mappo_n_cities=8_seed1,367.3
mappo_n_cities=8_seed2,347.6
mappo_n_cities=8_seed3,331.4
mappo_n_cities=8_seed4,313.4
mappo_seed0,175.8
mappo_seed1,176.3
mappo_seed2,177.3
mappo_seed3,176.7
mappo_seed4,253.9
mappo_weekly_supply_per_capita=1.0e-4_seed0,188.5
mappo_weekly_supply_per_capita=1.0e-4_seed1,180.3
mappo_weekly_supply_per_capita=1.0e-4_seed2,178.5
mappo_weekly_supply_per_capita=1.0e-4_seed3,177.5
mappo_weekly_supply_per_capita=1.0e-4_seed4,177.5
mappo_weekly_supply_per_capita=1.0e-5_seed0,163.2
