algo,sweep,n_seeds,welfare_mean,welfare_ci95,deaths_mean,deaths_ci95,unmet_mean,unmet_ci95,transfers_mean,transfers_ci95,gini_mean,gini_ci95,worst_capita_mean,worst_capita_ci95
dqn,default,5,-193970.06579999998,4634.474117884316,185595.14,3818.8949760024725,837489.3400000001,82758.57942922968,1219098.48,304038.5404288197,0.08563000000000001,0.0110156952201847,0.012545,0.00015959383496864831
ippo,default,5,-236908.93180000005,12569.608387883509,219250.81999999998,9759.366560795494,1765812.8,281050.0786906999,4521598.62,411126.93479488435,0.12709399999999998,0.023746629599199976,0.0156986,0.0014525991743684836
mappo,default,5,-244070.1546,14433.21268651986,224723.84,11162.739752640626,1934630.8599999999,327047.08885272854,5858588.92,317195.7168495625,0.11801000000000002,0.013499240146319353,0.015656200000000002,0.0008136118885463756
peer,default,5,-241275.8934,4443.8000127078885,222619.86000000002,3465.7544053702536,1865601.0,97981.74938374113,4754644.0200000005,215793.79995351686,0.127402,0.009702901558111354,0.0158046,0.0006105749518085394
dqn,weekly_supply_per_capita=1.0e-4,5,-166690.4818,3960.3179324445186,163775.86,3359.9257925002075,291460.02,69333.58477766557,2924860.2600000002,542744.0961297884,0.06634,0.01680994431353061,0.0105494,0.00023196465441096802
mappo,weekly_supply_per_capita=1.0e-4,5,-177452.30640000003,4878.816942262015,171616.46,3738.1320277714317,583584.7,125214.34927799708,11908604.98,672709.9870134443,0.11670200000000001,0.04615281440595362,0.012383599999999998,0.0018469628804326302
dqn,weekly_supply_per_capita=1.0e-5,5,-335520.0756,831.4842539800222,296912.25999999995,644.5409848003239,3860780.5199999996,19168.22076138652,78729.84,3439.422982887358,0.07121799999999999,0.0018022453124921685,0.0187238,3.929005655378889e-05
mappo,weekly_supply_per_capita=1.0e-5,5,-363602.92919999996,1982.3295687799773,318779.76,1532.0445053282733,4482321.74,45059.64793262711,1188836.58,56204.49114433653,0.07450399999999999,0.016622992836478036,0.020390200000000004,0.00040329180232680185
dqn,weekly_supply_per_capita=2.5e-4,5,-148501.5854,4842.540945460385,147800.22000000003,4772.8711775739175,70135.82,10752.750637499252,6341017.32,1121401.5357145192,0.07246999999999999,0.0220909886232373,0.009385,0.00019056099370018037
mappo,weekly_supply_per_capita=2.5e-4,5,-140508.34159999999,5001.894265558683,139464.74,4647.443278573125,104361.58,51264.01957128936,30553509.26,1778965.061079724,0.184602,0.047400550769019535,0.009629200000000001,0.0004479881750939415
dqn,weekly_supply_per_capita=2.5e-5,5,-258424.80060000002,4173.089369501587,236418.26,3331.3766124542863,2200654.04,84818.71796002849,386118.12,98655.24341389691,0.10569999999999999,0.00860675926653,0.0159522,0.0003528252613178374
mappo,weekly_supply_per_capita=2.5e-5,5,-307004.44,3088.2371084874035,274291.0,2418.12300586352,3271347.2399999998,67018.13822531111,2890910.9400000004,75533.81902287707,0.112944,0.011894024828358144,0.018566199999999998,0.0005354070692697283
