run,total_seconds
dqn_seed0,541.5
dqn_seed1,541.9
dqn_seed2,537.1
dqn_seed3,448.0
dqn_seed4,417.6
dqn_weekly_supply_per_capita=1.0e-4_seed0,688.8
dqn_weekly_supply_per_capita=1.0e-4_seed1,692.3
dqn_weekly_supply_per_capita=1.0e-4_seed2,592.2
dqn_weekly_supply_per_capita=1.0e-4_seed3,579.4
dqn_weekly_supply_per_capita=1.0e-4_seed4,574.1
dqn_weekly_supply_per_capita=1.0e-5_seed0,612.6
dqn_weekly_supply_per_capita=1.0e-5_seed1,626.9
dqn_weekly_supply_per_capita=1.0e-5_seed2,613.3
dqn_weekly_supply_per_capita=1.0e-5_seed3,615.5
dqn_weekly_supply_per_capita=1.0e-5_seed4,622.3
dqn_weekly_supply_per_capita=2.5e-4_seed0,536.6
dqn_weekly_supply_per_capita=2.5e-4_seed1,478.8
dqn_weekly_supply_per_capita=2.5e-4_seed2,479.2
dqn_weekly_supply_per_capita=2.5e-4_seed3,446.4
dqn_weekly_supply_per_capita=2.5e-4_seed4,443.5
dqn_weekly_supply_per_capita=2.5e-5_seed0,616.7
dqn_weekly_supply_per_capita=2.5e-5_seed1,618.6
dqn_weekly_supply_per_capita=2.5e-5_seed2,616.7
dqn_weekly_supply_per_capita=2.5e-5_seed3,695.2
dqn_weekly_supply_per_capita=2.5e-5_seed4,689.1
ippo_seed0,159.2
ippo_seed1,158.2
ippo_seed2,159.2
ippo_seed3,158.5
ippo_seed4,160.1
mappo_seed0,160.2
mappo_seed1,161.6
mappo_seed2,160.8
mappo_seed3,163.5
mappo_seed4,182.5
mappo_weekly_supply_per_capita=1.0e-4_seed0,190.6
mappo_weekly_supply_per_capita=1.0e-4_seed1,190.0
mappo_weekly_supply_per_capita=1.0e-4_seed2,190.9
mappo_weekly_supply_per_capita=1.0e-4_seed3,142.1
mappo_weekly_supply_per_capita=1.0e-4_seed4,142.1
mappo_weekly_supply_per_capita=1.0e-5_seed0,137.5
mappo_weekly_supply_per_capita=1.0e-5_seed1,139.2
mappo_weekly_supply_per_capita=1.0e-5_seed2,137.6
mappo_weekly_supply_per_capita=1.0e-5_seed3,137.4
mappo_weekly_supply_per_capita=1.0e-5_seed4,157.4
mappo_weekly_supply_per_capita=2.5e-4_seed0,140.4
mappo_weekly_supply_per_capita=2.5e-4_seed1,151.9
mappo_weekly_supply_per_capita=2.5e-4_seed2,150.7
mappo_weekly_supply_per_capita=2.5e-4_seed3,150.0
mappo_weekly_supply_per_capita=2.5e-4_seed4,149.9
mappo_weekly_supply_per_capita=2.5e-5_seed0,266.2
mappo_weekly_supply_per_capita=2.5e-5_seed1,269.0
mappo_weekly_supply_per_capita=2.5e-5_seed2,269.2
mappo_weekly_supply_per_capita=2.5e-5_seed3,268.9
mappo_weekly_supply_per_capita=2.5e-5_seed4,265.4
peer_seed0,241.2
peer_seed1,243.7
peer_seed2,244.2
peer_seed3,244.8
peer_seed4,242.1
